Wavelength,Element,Spectrum
440.176,O,I
440.176,O,I
440.176,O,I
440.18,O,V
440.189,O,I
440.189,O,I
440.189,O,I
440.190,O,I]
440.190,O,I]
440.202,O,I
440.215,O,I
440.215,C,III
440.216,O,I
440.233,O,I]
440.24798,O,I]
440.25490,O,I]
440.269,O,I
440.272,O,I]
440.283,O,I
440.284,O,I
440.284,O,I
440.287,O,I
440.287,O,I
440.287,O,I
440.287,O,I
440.287,O,I
440.3348,C,II]
440.351,O,I
440.351,O,I
440.351,O,I
440.351,O,I
440.351,O,I
440.371,O,III
440.43,O,I]
440.43,O,I]
440.43,O,I]
440.488,O,II
440.5,O,VI
440.5,O,VI
440.5,O,VI
440.50,O,I]
440.50,O,I]
440.5129,C,II]
440.58,O,I
440.632,O,I]
440.6618,O,II
440.675,O,II
440.675,O,I]
440.681,O,III
440.692,O,I
440.692,O,I
440.693,O,I
440.693,O,I
440.693,O,I
440.693,O,I]
440.6989,C,III
440.72152,O,II
440.739,O,III
440.739,O,III
440.760,O,I
440.760,O,I
440.760,O,I]
440.8658,O,II]
440.87,O,I
440.9257,C,II]
440.939,O,I
440.939,O,I
440.939,O,I
440.951,O,III
441.0400,C,II]
441.050,O,I
441.050,O,I
441.050,O,I
441.050,O,I
441.050,O,I
441.074,O,I]
441.074,O,I]
441.074,O,I]
441.114,O,I
441.114,O,I
441.114,O,I
441.114,O,I
441.114,O,I
441.1229,C,II]
441.1404,C,II]
441.17,O,IV
441.21,O,IV]
441.2142,O,III]
441.2391,C,II
441.2517,C,II]
441.2597,O,II]
441.2679,O,II]
441.2749,C,II
441.295,O,IV]
441.3522,C,II]
441.360,O,I]
441.399,O,I]
441.4510,C,II
441.453,O,I]
441.493,O,I]
441.493,O,I]
441.53138,O,I]
441.565,O,I]
441.565,O,I]
441.5695,O,II
441.609,O,III
441.609,O,III
441.61384,O,II
441.67383,O,I]
441.675,O,I
441.675,O,I
441.675,O,I
441.68080,O,I]
441.69055,O,I]
441.693,O,I]
441.7283,O,III
441.733,O,I]
441.7744,O,II]
441.787,O,I
441.787,O,I
441.787,O,I
441.787,O,I
441.787,O,I
441.8165,O,II
441.82152,O,II
441.851,O,I
441.851,O,I
441.851,O,I
441.851,O,I
441.851,O,I
441.97,O,I]
442.011,O,II
442.0208,O,II
442.057,O,IV]
442.131,O,II
442.1781,O,II]
442.25,O,IV]
442.34,O,I]
442.34,O,I]
442.34,O,I]
442.34,O,I]
442.38,O,IV]
442.394,O,I
442.395,O,I
442.41,O,I]
442.438,O,I
442.463,O,I
442.506,O,I
442.54,O,V
442.63,O,I]
442.70,O,I]
442.7323,O,II
442.750,C,IV
442.750,C,IV
442.750,C,IV
442.839,O,I
442.839,O,I
442.839,O,I
442.839,O,I
442.839,O,I
442.839,O,I]
442.907,O,I
442.907,O,I
442.907,O,I]
442.910,C,II]
442.910,C,II]
442.9106,O,II]
443.035,C,IV
443.035,C,IV
443.035,C,IV
443.070,C,IV
443.070,C,IV
443.070,C,IV
443.072,C,IV
443.072,C,IV
443.072,C,IV
443.09,C,IV
443.09,C,IV
443.09,C,IV
443.094,C,IV
443.094,C,IV
443.094,C,IV
443.094,C,IV
443.094,C,IV
443.094,C,IV
443.095,C,IV
443.095,C,IV
443.095,C,IV
443.095,C,IV
443.095,C,IV
443.095,C,IV
443.10,C,IV
443.10,C,IV
443.10,C,IV
443.139,O,IV]
443.145,C,IV
443.145,C,IV
443.145,C,IV
443.252,O,I]
443.252,O,I]
443.291,O,I]
443.291,O,I]
443.291,O,I]
443.306,O,I
443.307,O,I
443.335,O,VIII
443.338,C,II]
443.364,O,I]
443.364,O,I]
443.45,O,I
443.489,O,I]
443.513,O,I]
443.539,O,I]
443.579,O,I]
443.585,O,III
443.585,O,III
443.587,C,II]
443.587,C,II]
443.60,O,IV]
443.64,O,IV]
443.794,O,I
443.794,O,I
443.794,O,I
443.82,O,I
443.876,O,III
443.876,O,III
443.8794,O,II
443.893,O,I]
443.893,O,I]
443.893,O,I]
443.907,O,I
443.907,O,I
443.907,O,I
443.907,O,I
443.907,O,I
443.972,O,I
443.972,O,I
443.972,O,I
443.972,O,I
443.972,O,I
444.029,C,II]
444.034,O,I]
444.0729,O,II
444.08,O,I
444.09,O,IV
444.1339,O,III
444.140,C,IV
444.148,O,I]
444.17354,O,I
444.228,O,III]
444.23,C,II
444.23,C,II
444.255,C,IV
444.279,C,IV
444.312,C,III
444.312,C,III
444.312,C,III
444.312,C,III
444.314,O,I]
444.316,C,III
444.316,C,III
444.316,C,III
444.325,O,III
444.325,O,III
444.39463,O,I]
444.4257,O,II
444.4397,C,III
444.4770,O,II
444.522,O,III
444.56,O,IV
444.595,O,IV]
444.784,O,V
444.8035,O,II
444.8038,O,II
444.8044,O,II
444.841,O,I
444.8925,O,II
444.894,O,I]
444.894,O,I]
444.894,O,I]
444.8943,O,III
444.939,O,III
444.9440,O,II
444.9622,O,II
444.9622,O,II
444.979,O,I
444.979,O,I
444.9845,O,I]
445.0099,O,II
445.0099,O,II
445.03274,O,I
445.03393,O,I
445.03836,O,I
445.093,O,I
445.093,O,I
445.093,O,I
445.093,O,I]
445.113,O,I]
445.1716,O,III
445.191,O,I
445.191,O,I
445.191,O,I
445.1951,O,II
445.23,O,I]
445.23,O,I]
445.23,O,I]
445.23,O,I]
445.274,O,I
445.275,O,I
445.299,O,I
445.30,O,I]
445.304,O,I
445.304,O,I
445.304,O,I
445.304,O,I
445.304,O,I
445.343,O,I
445.36282,O,II
445.367,O,I
445.370,O,I
445.370,O,I
445.370,O,I
445.370,O,I
445.370,O,I
445.3889,O,III]
445.407,O,III
445.407,O,III
445.433,O,I]
445.483,O,I]
445.483,O,I]
445.5216,O,II
445.523,O,I]
445.523,O,I]
445.523,O,I]
445.528,O,III
445.528,O,III
445.547,O,I]
445.596,O,I]
445.596,O,I]
445.61,O,I]
445.6110,O,III
445.631,O,V
445.631,O,V
445.68,O,I]
445.681,O,I
445.681,O,I
445.682,O,I
445.682,O,I
445.682,O,I
445.682,O,I]
445.688,O,IV]
445.750,O,I
445.750,O,I
445.750,O,I]
445.827,O,I]
445.867,O,I]
445.87,O,I]
445.87,O,I]
445.882,O,III
445.882,O,III
445.9048,O,III
445.939,C,III
445.939,C,III
445.939,C,III
445.939,C,III
445.939,C,III
445.939,C,III
445.939,C,III
445.94,O,I]
445.942,O,I
445.961,C,IV
445.961,C,IV
445.980,O,III
446.080,O,I
446.080,O,I
446.11,O,V
446.13,O,V
446.17,C,III
446.17,C,III
446.17,C,III
446.195,O,I
446.195,O,I
446.195,O,I
446.195,O,I]
446.239,C,III
446.239,C,III
446.239,C,III
446.239,C,III
446.239,C,III
446.239,C,III
446.239,C,III
446.2586,O,III
446.2859,O,III
446.289,O,I
446.290,O,I
446.3341,C,II]
446.41,C,III
446.41,C,III
446.4100,O,II]
446.48980,O,I
446.49100,O,I
446.63,O,V
446.63967,O,I]
446.6661,O,II
446.690,O,I
446.691,O,I
446.691,O,I
446.74281,O,I]
446.74281,O,I]
446.74295,O,I]
446.7489,O,II
446.760,O,I
446.760,O,I
446.760,O,I
446.7688,O,II
446.772,O,III
446.772,O,III
446.7836,O,II
446.8463,O,II
446.854,O,I]
446.8719,O,II
446.9178,O,II
446.93017,O,I]
446.93017,O,I]
446.93017,O,I]
446.93031,O,I]
446.93031,O,I]
446.969,O,I]
447.02,C,III
447.036,O,I
447.036,O,I
447.036,O,I
447.0407,O,II]
447.0632,O,II
447.07,O,V
447.0716,O,II
447.0726,O,II
447.0806,O,II
447.1024,O,II]
447.13,O,V
447.13,O,V
447.150,O,I
447.150,O,I
447.150,O,I
447.150,O,I
447.150,O,I
447.1642,O,III]
447.216,O,I
447.216,O,I
447.216,O,I
447.216,O,I
447.216,O,I
447.22,O,I
447.228,O,III
447.27,O,I]
447.272,O,I]
447.290,O,I
447.310,O,I]
447.3416,O,II]
447.430,O,I
447.430,O,I
447.444,O,I
447.48409,O,I]
447.48409,O,I]
447.48409,O,I]
447.48492,O,I]
447.48492,O,I]
447.53,O,IV
447.544,C,II]
447.544,C,II]
447.545,O,I
447.545,O,I
447.545,O,I
447.545,O,I]
447.558,O,I
447.558,O,I
447.57,O,IV]
447.624,O,I
447.624,O,I
447.624,O,I
447.645,O,III
447.645,O,III
447.68,O,I
447.683,O,I]
447.683,O,I]
447.683,O,I]
447.712,C,III
447.718,C,III
447.718,C,III
447.727,C,III
447.727,C,III
447.727,C,III
447.733,O,III
447.767,O,I]
447.767,O,I]
447.767,O,I]
447.767,O,I]
447.767,O,I]
447.8048,O,II
447.917,O,III
447.917,O,III
447.965,C,II]
448.0369,O,II]
448.069,O,V
448.069,O,V
448.069,O,V
448.2018,O,II
448.401,O,I]
448.401,O,I]
448.411,O,III
448.411,O,III
448.442,O,I]
448.442,O,I]
448.442,O,I]
448.45738,O,I]
448.47092,O,I]
448.516,O,I]
448.516,O,I]
448.556,O,I]
448.556,O,I]
448.556,O,I]
448.556,O,I]
448.556,O,I]
448.57627,O,II]
448.596,O,III
448.596,O,III
448.640,O,I]
448.6995,O,II
448.742,O,I]
448.7424,O,II
448.756,O,I]
448.78580,O,I]
448.78634,O,I]
448.78660,O,I]
448.826,O,I]
448.83,O,I]
448.86,O,I]
448.867,O,I]
448.8971,O,II
448.898,C,IV
448.898,C,IV
448.898,C,IV
448.93,O,I]
448.9443,O,II
448.9457,O,II
448.98,O,I]
448.98,O,I]
448.98758,O,I]
448.990,O,I
448.990,O,I
448.990,O,I
448.995,O,I
449.03,O,I]
449.03,O,I]
449.03,O,I]
449.03,O,I]
449.04,O,I]
449.041,O,I
449.041,O,I
449.041,O,I
449.041,O,I
449.041,O,I
449.048,C,II]
449.048,C,II]
449.05389,O,I]
449.0721,O,II
449.088,O,I
449.10,O,I]
449.10,O,I]
449.126,O,I
449.126,O,I
449.136,O,I
449.136,O,I
449.139,O,I
449.139,O,I
449.139,O,I
449.139,O,I
449.139,O,I
449.158,O,I
449.16,O,IV]
449.1688,O,II]
449.16933,O,I]
449.19,O,I]
449.196,O,I
449.2014,C,II]
449.2173,O,II
449.239,C,II
449.248,C,II
449.248,C,II
449.2482,O,II
449.252,O,I
449.252,O,I
449.252,O,I
449.252,O,I]
449.26161,O,I]
449.26161,O,I]
449.301,O,I
449.301,O,I
449.301,O,I
449.318,O,I]
449.318,O,I]
449.318,O,I]
449.318,O,I]
449.318,O,I]
449.325,O,III]
449.3350,C,II]
449.3376,O,III]
449.3590,C,II]
449.36,O,V
449.417,O,I
449.417,O,I
449.417,O,I
449.417,O,I
449.417,O,I
449.4392,C,II]
449.4630,O,III
449.483,O,I
449.483,O,I
449.483,O,I
449.483,O,I
449.483,O,I
449.5,O,VI
449.5,O,VI
449.5,O,VI
449.5,O,VI
449.5,O,VI
449.5,O,VI
449.5,O,VI
449.5,O,VI
449.5,O,VI
449.5,O,VI
449.5,O,VI
449.5,O,VI
449.5,O,VI
449.5,O,VI
449.5,O,VI
449.50,O,I]
449.501,O,I
449.501,O,I
449.502,O,I
449.502,O,I
449.502,O,I
449.502,O,I]
449.520,O,I]
449.5416,C,II]
449.57,O,I]
449.572,O,I
449.572,O,I
449.572,O,I]
449.62177,O,II]
449.692,O,I]
449.7645,C,II]
449.807,O,I
449.8689,C,II]
449.91633,O,I]
449.922,O,I
449.922,O,I
449.9241,O,II
449.958,O,V
449.9715,C,II]
449.975,C,II]
449.975,C,II]
449.989,O,I
449.989,O,I
449.989,O,I
450.00,O,IV]
450.007,C,VI
450.04,C,II
450.04,C,II
450.1019,O,II]
450.13,O,III
450.1475,C,II]
450.186,O,I]
450.186,O,I]
450.187,O,I
450.2194,O,I]
450.234,O,VIII
450.299,O,I
450.299,O,I
450.312,O,I]
450.31976,O,I]
450.348,O,I]
450.348,O,I]
450.348,O,I]
450.349,O,I
450.349,O,I
450.35989,O,I]
450.447,O,III
450.463,C,II]
450.488,O,I]
450.488,O,I]
450.580,O,I]
450.580,O,I]
450.580,O,I]
450.580,O,I
450.580,O,I
450.580,O,I
450.70,O,I]
450.775,C,IV
450.775,C,IV
450.7904,O,III
450.84,O,I]
450.84,O,I]
450.8707,O,II
450.894,C,II]
450.9,C,V
450.904,O,I]
450.92,C,II]
450.953,O,I]
450.96,O,I]
450.96,O,I]
450.9971,C,II]
451.021,O,I]
451.065,O,I]
451.1330,C,II]
451.134,O,III
451.158,C,II]
451.16,O,IV]
451.18,O,I]
451.224,O,I
451.27,O,I]
451.28,O,I]
451.366,O,I
451.366,O,I
451.41,O,IV]
451.4658,O,II
451.483,O,I
451.483,O,I
451.483,O,I
451.483,O,I]
451.5093,O,III
451.511,O,I]
451.511,O,I]
451.511,O,I]
451.511,O,I]
451.511,O,I]
451.557,O,I
451.561,C,III
451.561,C,III
451.6,O,VI
451.6,O,VI
451.6,O,VI
451.608,O,I
451.608,O,I
451.608,O,I
451.617,O,I]
451.617,O,I]
451.63218,O,I]
451.63218,O,I]
451.63218,O,I]
451.63232,O,I]
451.63232,O,I]
451.63232,O,I]
451.641,O,I]
451.641,O,I]
451.642,O,I]
451.6618,C,III
451.7077,C,III
451.708,O,I
451.708,O,I
451.709,O,I
451.76,O,I]
451.76,O,I]
451.76,O,I]
451.76,O,I]
451.76,O,I]
451.8055,C,III
451.851,O,I
451.94868,O,I]
451.969,O,I
452.01587,O,I]
452.02,O,IV]
452.08,O,III
452.08,O,III
452.0890,O,III
452.18,C,III
452.18,C,III
452.18,C,III
452.277,O,I]
452.277,O,I]
452.30,O,I]
452.318,O,I]
452.318,O,I]
452.318,O,I]
452.325,O,I
452.325,O,I
452.325,O,I
452.327,O,III
452.327,O,III
452.328,O,I]
452.328,O,I]
452.328,O,I
452.36,O,IV
452.3705,O,I
452.3705,O,I
452.3705,O,I
452.392,O,V
452.394,O,I]
452.394,O,I]
452.39901,O,I]
452.39901,O,I]
452.39901,O,I]
452.39915,O,I]
452.39915,O,I]
452.41,O,I]
452.410,O,I]
452.4119,O,I
452.4119,O,I
452.4119,O,I
452.43,C,III
452.43,C,III
452.434,O,VIII
452.440,O,I]
452.440,O,I]
452.440,O,I]
452.441,O,I
452.441,O,I
452.443,O,I
452.443,O,I
452.443,O,I
452.443,O,I
452.443,O,I
452.477,O,I]
452.48,O,I]
452.4871,O,I
452.4871,O,I
452.4871,O,I
452.50,O,I
452.508,O,I]
452.510,O,I
452.510,O,I
452.510,O,I
452.510,O,I
452.510,O,I
452.516,O,III
452.52251,O,I]
452.52251,O,I]
452.52251,O,I]
452.52266,O,I
452.52266,O,I
452.52266,O,I
452.547,O,I]
452.547,O,I]
452.547,O,I]
452.547,O,I
452.547,O,I
452.547,O,I
452.5491,O,III
452.64,O,III]
452.65,O,IV]
452.74,O,I]
452.74,O,I]
452.74,O,I]
452.74706,O,I]
452.78818,O,I]
452.78818,O,I]
452.78833,O,I
452.80215,O,I]
452.80215,O,I]
452.80215,O,I]
452.80229,O,I
452.80229,O,I
452.8563,O,III
452.89,O,I
452.904,O,I]
452.914,O,I]
452.914,O,I]
452.914,O,I]
452.945,O,I]
452.957,O,I]
452.957,O,I]
452.957,O,I]
452.957,O,I]
452.957,O,I]
452.965,O,I
453.000,O,I]
453.000,O,I]
453.06749,O,I]
453.06749,O,I]
453.06749,O,I]
453.06763,O,I
453.06763,O,I
453.082,O,I
453.082,O,I
453.0939,O,III]
453.150,O,I
453.150,O,I
453.150,O,I
453.2134,O,II
453.2194,O,III]
453.230,C,III
453.231,O,II
453.3092,O,III]
453.33,C,III
453.33,C,III
453.33,C,III
453.33,C,III
453.33,C,III
453.33,C,III
453.33,C,III
453.3336,O,II]
453.4056,O,III
453.43,O,IV
453.444,O,III
453.52375,O,I]
453.56,O,III]
453.57,O,I
453.6557,O,III
453.71,O,I]
453.723,O,IV
453.736,O,III
453.736,O,III
453.7609,O,II
453.78,O,IV]
453.786,O,I]
453.85,O,I]
453.85,O,I]
453.896,O,I]
453.912,C,IV
453.912,C,IV
453.912,C,IV
453.925,O,III
453.925,O,III
453.94,O,III
453.94,O,III
453.94,O,III
453.97,O,I]
453.97,O,I]
454.0124,O,III
454.014,O,I]
454.039,O,I]
454.0816,O,II
454.086,O,I]
454.1668,O,III
454.173,C,II]
454.175,O,I
454.20,O,III]
454.20,O,III]
454.213,C,IV
454.213,C,IV
454.213,C,IV
454.221,O,I]
454.24,C,II
454.241,O,I]
454.250,C,IV
454.250,C,IV
454.250,C,IV
454.252,C,IV
454.252,C,IV
454.252,C,IV
454.27,C,IV
454.27,C,IV
454.27,C,IV
454.273,C,IV
454.273,C,IV
454.273,C,IV
454.275,C,IV
454.275,C,IV
454.275,C,IV
454.275,C,IV
454.275,C,IV
454.275,C,IV
454.275,C,IV
454.275,C,IV
454.275,C,IV
454.28,C,IV
454.28,C,IV
454.28,C,IV
454.319,O,I
454.319,O,I
454.336,O,I
454.36,O,I]
454.36,O,I]
454.36,O,I]
454.36,O,I]
454.36,O,IV]
454.36,O,I]
454.366,O,I
454.367,O,I
454.399,C,IV
454.399,C,IV
454.399,C,IV
454.407,O,I
454.43,O,I]
454.437,O,I
454.437,O,I
454.437,O,I
454.437,O,I]
454.438,O,I
454.47,O,I
454.51,O,I]
454.569,C,II
454.63,O,I]
454.671,C,II]
454.74,C,II
454.742,O,IV
454.749,O,I]
454.749,O,I]
454.75,O,I]
454.77,O,IV]
454.775,O,I
454.775,O,I
454.776,O,I
454.776,O,I
454.776,O,I
454.776,O,I]
454.79,O,III]
454.807,O,I
454.82,O,I]
454.848,O,I
454.848,O,I
454.848,O,I]
454.867,O,I]
454.867,O,I]
454.867,O,I]
454.867,O,I]
454.867,O,I]
454.90,O,IV
454.90,O,IV
454.90,O,IV
454.90,C,II
454.90,C,II
454.951,O,I
454.976,O,V
455.068,C,II
455.068,C,II]
455.070,O,I
455.22867,O,I]
455.290,O,I]
455.290,O,I]
455.290,O,I]
455.35,O,IV]
455.367,O,I]
455.43,O,I]
455.43,O,I]
455.4396,O,II
455.44,O,IV]
455.487,O,I]
455.487,O,I]
455.50,O,I]
455.5057,O,II]
455.512,C,IV
455.5408,C,II
455.581,O,V
455.591,C,IV
455.591,C,IV
455.60,O,III]
455.60,O,III]
455.60,O,III]
455.621,C,II]
455.638,C,VI
455.6664,O,III
455.901,O,II
455.9190,O,III
455.93,O,IV]
455.957,O,I
455.957,O,I
455.958,O,I
455.958,O,I
455.96,O,III]
455.96,O,III]
455.977,C,II]
456.020,C,II
456.020,C,II]
456.022,O,II
456.030,O,I
456.04,O,IV]
456.07,O,IV
456.07,O,IV
456.1,C,V
456.1,C,V
456.1,C,V
456.1,C,V
456.1,C,V
456.1,C,V
456.150,O,II
456.153,O,III
456.194,O,III
456.2,O,VI
456.2,O,VI
456.20,O,I]
456.247,O,I
456.247,O,I
456.247,O,I
456.32,O,I]
456.366,O,I
456.366,O,I
456.366,O,I
